Publication Title,Publication Year,Journal Impact Factor
"Trauma, Violence, and Abuse",2011,3.265
"Trauma, Violence, and Abuse",2010,2.6
"Trauma, Violence, and Abuse",2009,2.537
"Trauma, Violence, and Abuse",2008,2.2
"Trauma, Violence, and Abuse",2007,1.806
Topics in Early Childhood Special Education,2016,1.366
Topics in Early Childhood Special Education,2015,1.143
Topics in Early Childhood Special Education,2014,0.535
Topics in Early Childhood Special Education,2013,1.364
Topics in Early Childhood Special Education,2012,1.425
Topics in Early Childhood Special Education,2011,1.158
Topics in Early Childhood Special Education,2010,1.171
Topics in Early Childhood Special Education,2009,0.812
Topics in Early Childhood Special Education,2008,0.5
Topics in Early Childhood Special Education,2007,0.417
Topics in Early Childhood Special Education,2006,0.711
Topics in Early Childhood Special Education,2005,0.594
Topics in Early Childhood Special Education,2004,0.862
Topics in Early Childhood Special Education,2003,0.742
Topics in Early Childhood Special Education,2002,0.537
Topics in Early Childhood Special Education,2001,0.86
Topics in Early Childhood Special Education,2000,1.081
Topics in Early Childhood Special Education,1999,0.81
Topics in Early Childhood Special Education,1998,0.773
Topics in Early Childhood Special Education,1997,0.689
The Journal of Socio-Economics,2016,1.286
The Journal of Socio-Economics,2015,0.627
The Journal of Socio-Economics,2014,0.505
The Journal of Primary Prevention,2016,1.597
The Journal of Primary Prevention,2015,1.333
The Journal of Primary Prevention,2014,1.018
The Journal of Primary Prevention,2013,1.25
The Journal of Primary Prevention,2012,1.533
The Journal of Primary Prevention,2011,1.542
The Journal of Primary Prevention,2010,1.09
The Journal of Early Adolescence,2016,1.629
The Journal of Early Adolescence,2015,1.413
The Journal of Early Adolescence,2014,1.309
The Journal of Early Adolescence,2013,1.2
The Journal of Early Adolescence,2012,1.686
The Journal of Early Adolescence,2011,2.303
The Journal of Early Adolescence,2010,1.556
The Journal of Early Adolescence,2009,1.267
The Journal of Early Adolescence,2008,1.024
The Journal of Early Adolescence,2007,1.154
The Journal of Early Adolescence,2006,1.075
The Journal of Early Adolescence,2005,0.868
The Journal of Early Adolescence,2004,1.086
The Journal of Early Adolescence,2003,1.081
The Journal of Early Adolescence,2002,0.711
The Journal of Early Adolescence,2001,0.854
The Journal of Early Adolescence,2000,0.395
The Journal of Early Adolescence,1999,0.794
The Journal of Early Adolescence,1998,0.5
The Journal of Early Adolescence,1997,0.717
The Future of Children,2016,2.583
The Future of Children,2015,3.12
The Future of Children,2014,2.5
The Future of Children,2013,2.273
The Future of Children,2012,2.861
The Future of Children,2011,2.486
The Future of Children,2010,1.535
The Future of Children,2009,2.114
The Future of Children,2008,4.371
The Future of Children,2007,4.758
The Future of Children,2006,2.515
The Future of Children,2005,1.957
The Future of Children,2004,2
The Future of Children,2003,1.233
The Future of Children,2002,1.167
The Future of Children,2001,1.686
The Future of Children,2000,1.811
The Future of Children,1999,1.094
The Future of Children,1998,0.914
The Future of Children,1997,1.568
The American Journal of Family Therapy,2016,0.5
The American Journal of Family Therapy,2015,0.492
The American Journal of Family Therapy,2014,0.525
The American Journal of Family Therapy,2013,0.527
The American Journal of Family Therapy,2012,0.353
The American Journal of Family Therapy,2011,0.536
The American Journal of Family Therapy,2010,0.413
The American Journal of Family Therapy,2009,0.377
The American Journal of Family Therapy,2008,0.491
The American Journal of Family Therapy,2007,0.31
The American Journal of Family Therapy,2006,0.373
The American Journal of Family Therapy,2005,0.464
The American Journal of Family Therapy,2004,0.446
The American Journal of Family Therapy,2003,0.305
The American Journal of Family Therapy,2002,0.259
The American Journal of Family Therapy,2001,0.271
The American Journal of Family Therapy,2000,0.327
The American Journal of Family Therapy,1999,0.345
The American Journal of Family Therapy,1998,0.224
The American Journal of Family Therapy,1997,0.242
The American Journal of Drug and Alcohol Abuse,2016,2.161
The American Journal of Drug and Alcohol Abuse,2015,1.828
The American Journal of Drug and Alcohol Abuse,2014,1.779
The American Journal of Drug and Alcohol Abuse,2013,1.47
The American Journal of Drug and Alcohol Abuse,2012,1.733
The American Journal of Drug and Alcohol Abuse,2011,1.553
The American Journal of Drug and Alcohol Abuse,2010,1.372
The American Journal of Drug and Alcohol Abuse,2009,1.335
The American Journal of Drug and Alcohol Abuse,2008,1.094
The American Journal of Drug and Alcohol Abuse,2007,1.236
The American Journal of Drug and Alcohol Abuse,2006,1.146
The American Journal of Drug and Alcohol Abuse,2005,1.094
The American Journal of Drug and Alcohol Abuse,2004,0.91
The American Journal of Drug and Alcohol Abuse,2003,1.057
The American Journal of Drug and Alcohol Abuse,2002,1.28
The American Journal of Drug and Alcohol Abuse,2001,1.031
The American Journal of Drug and Alcohol Abuse,2000,1.053
The American Journal of Drug and Alcohol Abuse,1999,0.898
The American Journal of Drug and Alcohol Abuse,1998,0.952
The American Journal of Drug and Alcohol Abuse,1997,0.85
Suicide and Life-Threatening Behavior,2016,3.252
Suicide and Life-Threatening Behavior,2015,2.726
Suicide and Life-Threatening Behavior,2014,1.853
Suicide and Life-Threatening Behavior,2013,1.403
Suicide and Life-Threatening Behavior,2012,1.758
Suicide and Life-Threatening Behavior,2011,1.333
Suicide and Life-Threatening Behavior,2010,1.326
Suicide and Life-Threatening Behavior,2009,1.454
Suicide and Life-Threatening Behavior,2008,1.423
Suicide and Life-Threatening Behavior,2007,1.32
Suicide and Life-Threatening Behavior,2006,1.624
Suicide and Life-Threatening Behavior,2005,1.06
Suicide and Life-Threatening Behavior,2004,1.173
Suicide and Life-Threatening Behavior,2003,1.25
Suicide and Life-Threatening Behavior,2002,1.056
Suicide and Life-Threatening Behavior,2001,1.127
Suicide and Life-Threatening Behavior,2000,1.306
Suicide and Life-Threatening Behavior,1999,0.882
Suicide and Life-Threatening Behavior,1998,0.853
Suicide and Life-Threatening Behavior,1997,0.887
Substance Use & Misuse,2016,1.234
Substance Use & Misuse,2015,1.133
Substance Use & Misuse,2014,1.234
Substance Use & Misuse,2013,1.226
Substance Use & Misuse,2012,1.109
Substance Use & Misuse,2011,1.104
Substance Use & Misuse,2010,1.06
Substance Use & Misuse,2009,0.725
Substance Use & Misuse,2008,0.917
Substance Use & Misuse,2007,1.229
Substance Use & Misuse,2006,1.376
Substance Use & Misuse,2005,0.983
Substance Use & Misuse,2004,0.684
Substance Use & Misuse,2003,0.566
Substance Use & Misuse,2002,0.773
Substance Use & Misuse,2001,0.867
Substance Use & Misuse,2000,0.687
Substance Use & Misuse,1999,0.538
Substance Use & Misuse,1998,0.457
Substance Use & Misuse,1997,0.378
Southern California Law Review,2016,1.463
Southern California Law Review,2015,1.063
Southern California Law Review,2014,1.029
Southern California Law Review,2013,0.839
Southern California Law Review,2012,0.846
Southern California Law Review,2011,1.596
Southern California Law Review,2010,1.388
Southern California Law Review,2009,1.082
Southern California Law Review,2008,1.275
Southern California Law Review,2007,1.185
Southern California Law Review,2006,1.519
Southern California Law Review,2005,1
Southern California Law Review,2004,1.931
Southern California Law Review,2003,1.619
Southern California Law Review,2002,1.099
Social Work Research,2016,1.211
Social Work Research,2015,0.906
Social Work Research,2014,0.649
Social Work Research,2013,0.535
Social Work Research,2012,0.8
Social Work Research,2011,0.875
Social Work Research,2010,0.449
Social Work Research,2008,0.632
Social Work Research,2007,1.2
Social Work Research,2006,0.722
Social Work Research,2005,0.763
Social Work Research,2004,0.568
Social Work Research,2003,0.605
Social Work Research,2002,0.35
Social Work Research,2001,0.846
Social Work Research,2000,0.634
Social Work Research,1999,0.378
Social Work Research,1998,2.323
Social Work Research,1997,0.8
Social Work,2016,2.081
Social Work,2015,1.145
Social Work,2014,1.222
Social Work,2013,0.877
Social Work,2012,0.867
Social Work,2011,1.148
Social Work,2010,1.048
Social Work,2009,1.397
Social Work,2008,1
Social Work,2007,1.086
Social Work,2006,0.779
Social Work,2005,0.598
Social Work,2004,0.814
Social Work,2003,0.708
Social Work,2002,0.932
Social Work,2001,1
Social Work,2000,1.372
Social Work,1999,1.011
Social Work,1998,1.121
Social Work,1997,1.119
Social Service Review,2016,1.275
Social Service Review,2015,1.119
Social Service Review,2014,0.867
Social Service Review,2013,0.791
Social Service Review,2012,1.14
Social Service Review,2011,0.721
Social Service Review,2010,1.421
Social Service Review,2009,0.675
Social Service Review,2008,0.787
Social Service Review,2007,0.917
Social Service Review,2006,0.896
Social Service Review,2005,0.755
Social Service Review,2004,0.846
Social Service Review,2003,0.808
Social Service Review,2002,0.42
Social Service Review,2001,0.667
Social Service Review,2000,0.447
Social Service Review,1999,0.74
Social Service Review,1998,0.642
Social Service Review,1997,0.741
Social Indicators Research,2016,1.743
Social Indicators Research,2015,1.38
Social Indicators Research,2014,1.395
Social Indicators Research,2013,1.452
Social Indicators Research,2012,1.264
Social Indicators Research,2011,1.131
Social Indicators Research,2010,1
Social Indicators Research,2009,0.835
Social Indicators Research,2008,0.955
Social Indicators Research,2007,0.61
Social Indicators Research,2006,0.565
Social Indicators Research,2005,0.746
Social Indicators Research,2004,0.509
Social Indicators Research,2003,0.398
Social Indicators Research,2002,0.378
Social Indicators Research,2001,0.608
Social Indicators Research,2000,0.435
Social Indicators Research,1999,0.375
Social Indicators Research,1998,0.31
Social Indicators Research,1997,0.232
Sexual Abuse: A Journal of Research and Treatment,2016,2.926
Sexual Abuse: A Journal of Research and Treatment,2015,1.981
Sexual Abuse: A Journal of Research and Treatment,2014,2.113
Sexual Abuse: A Journal of Research and Treatment,2013,2.28
Sexual Abuse: A Journal of Research and Treatment,2012,2.42
Sexual Abuse: A Journal of Research and Treatment,2011,1.538
Sexual Abuse: A Journal of Research and Treatment,2010,1.5
Sexual Abuse: A Journal of Research and Treatment,2009,2.208
Sexual Abuse: A Journal of Research and Treatment,2008,1.151
Sexual Abuse: A Journal of Research and Treatment,2007,1.643
Sexual Abuse: A Journal of Research and Treatment,2006,1.849
School Mental Health,2016,1.689
School Mental Health,2015,1.214
School Mental Health,2014,1.098
Review of Economics of the Household,2016,0.972
Review of Economics of the Household,2015,1.29
Review of Economics of the Household,2014,0.982
Review of Economics of the Household,2013,1.204
Review of Economics of the Household,2012,0.708
Review of Economics of the Household,2011,0.643
Review of Economics of the Household,2010,0.732
Respiration Physiology,2001,2.197
Respiration Physiology,2000,1.575
Respiration Physiology,1999,1.018
Respiration Physiology,1998,0.923
Respiration Physiology,1997,0.858
Research on Social Work Practice,2016,1.586
Research on Social Work Practice,2015,1.216
Research on Social Work Practice,2014,1.375
Research on Social Work Practice,2013,0.905
Research on Social Work Practice,2012,1.355
Research on Social Work Practice,2011,1.532
Research on Social Work Practice,2010,1.13
Research on Social Work Practice,2009,1.039
Research on Social Work Practice,2008,0.982
Research on Social Work Practice,2007,0.957
Research on Social Work Practice,2006,0.789
Research on Social Work Practice,2005,0.459
Research on Social Work Practice,2004,0.638
Research on Social Work Practice,2003,0.329
Research on Social Work Practice,2002,0.367
Research on Social Work Practice,2001,0.452
Research on Social Work Practice,2000,0.239
Research on Social Work Practice,1999,0.268
Research on Social Work Practice,1998,0.532
Research on Social Work Practice,1997,0.403
Research in Nursing & Health,2016,1.693
Research in Nursing & Health,2015,1.638
Research in Nursing & Health,2014,1.267
Research in Nursing & Health,2013,1.163
Research in Nursing & Health,2012,2.181
Research in Nursing & Health,2011,1.708
Research in Nursing & Health,2010,1.736
Research in Nursing & Health,2009,1.514
Research in Nursing & Health,2008,1.457
Research in Nursing & Health,2007,1
Research in Nursing & Health,2006,1.337
Research in Nursing & Health,2005,1.077
Research in Nursing & Health,2004,1.062
Research in Nursing & Health,2003,1.069
Research in Nursing & Health,2002,0.935
Research in Nursing & Health,2001,0.989
Research in Nursing & Health,2000,0.789
Research in Nursing & Health,1999,0.898
Research in Nursing & Health,1998,0.673
Public Health Reports,2016,1.867
Public Health Reports,2015,1.737
Public Health Reports,2014,1.547
Public Health Reports,2013,1.644
Public Health Reports,2012,1.421
Public Health Reports,2011,1.275
Public Health Reports,2010,1.083
Public Health Reports,2009,1.325
Public Health Reports,2008,1.299
Public Health Reports,2007,1.378
Public Health Reports,2006,1.523
Public Health Reports,2005,1.526
Public Health Reports,2004,1.61
Public Health Reports,2003,1.139
Public Health Reports,2002,0.846
Public Health Reports,2001,0.881
Public Health Reports,2000,1.517
Public Health Reports,1999,1.197
Public Health Reports,1998,1.18
Public Health Reports,1997,0.978
Public Health Nursing,2016,0.788
Public Health Nursing,2015,0.901
Public Health Nursing,2014,0.833
Public Health Nursing,2013,0.886
Public Health Nursing,2012,0.78
Public Health Nursing,2011,0.72
Public Health Nursing,2010,0.873
Public Health Nursing,2009,0.813
Public Health Nursing,2008,0.519
Public Health Nursing,2007,0.559
Public Health Nursing,2006,0.881
Public Health Nursing,2005,0.693
Public Health Nursing,2004,0.576
Public Health Nursing,2003,0.505
Public Health Nursing,2002,0.486
Psychometrika,2016,2.111
Psychometrika,2015,1.831
Psychometrika,2014,1.085
Psychometrika,2013,1.961
Psychometrika,2012,2.205
Psychometrika,2011,1.772
Psychometrika,2010,1.778
Psychometrika,2009,1.205
Psychometrika,2008,1.053
Psychometrika,2007,0.767
Psychometrika,2006,0.608
Psychometrika,2005,0.672
Psychometrika,2004,0.785
Psychometrika,2003,1.138
Psychometrika,2002,0.567
Psychometrika,2001,0.85
Psychometrika,2000,0.898
Psychometrika,1999,0.824
Psychometrika,1998,0.933
Psychometrika,1997,0.656
Psychology of Violence,2016,2.192
Psychology of Violence,2015,2.79
Psychology of Violence,2014,2.368
Psychology of Violence,2013,2.059
Psychology of Violence,2012,1.826
"Psychological Trauma: Theory, Research, Practice, and Policy",2016,1.584
"Psychological Trauma: Theory, Research, Practice, and Policy",2015,1.573
"Psychological Trauma: Theory, Research, Practice, and Policy",2014,2.308
"Psychological Trauma: Theory, Research, Practice, and Policy",2013,2.097
"Psychological Trauma: Theory, Research, Practice, and Policy",2012,1.457
"Psychological Trauma: Theory, Research, Practice, and Policy",2011,0.894
Psychological Reports,2016,0.629
Psychological Reports,2015,0.414
Psychological Reports,2014,0.56
Psychological Reports,2013,0.402
Psychological Reports,2012,0.372
Psychological Reports,2011,0.439
Psychological Reports,2010,0.439
Psychological Reports,2009,0.346
Psychological Reports,2008,0.309
Psychological Reports,2007,0.353
Psychological Reports,2006,0.364
Psychological Reports,2005,0.281
Psychological Reports,2004,0.341
Psychological Reports,2003,0.277
Psychological Reports,2002,0.342
Psychological Reports,2001,0.277
Psychological Reports,2000,0.238
Psychological Reports,1999,0.266
Psychological Reports,1998,0.221
Psychological Reports,1997,0.243
Psychological Methods,2016,4.667
Psychological Methods,2015,5
Psychological Methods,2014,7.338
Psychological Methods,2013,5.708
Psychological Methods,2012,4.315
Psychological Methods,2011,4.449
Psychological Methods,2010,3.186
Psychological Methods,2009,4.364
Psychological Methods,2008,5.14
Psychological Methods,2007,3.5
Psychological Methods,2006,2.926
Psychological Methods,2005,3.07
Psychological Methods,2004,5.525
Psychological Methods,2003,3.927
Psychological Methods,2002,1.315
Psychological Methods,2001,2.074
Psychological Methods,2000,2.19
Psychological Methods,1999,1.466
Psychological Methods,1998,3.648
Psychological Methods,1997,2.963
Psychological Bulletin,2016,16.793
Psychological Bulletin,2015,14.839
Psychological Bulletin,2014,14.756
Psychological Bulletin,2013,14.392
Psychological Bulletin,2012,15.575
Psychological Bulletin,2011,14.457
Psychological Bulletin,2010,11.975
Psychological Bulletin,2009,12.854
Psychological Bulletin,2008,12.568
Psychological Bulletin,2007,10.905
Psychological Bulletin,2006,12.725
Psychological Bulletin,2005,9.746
Psychological Bulletin,2004,7.701
Psychological Bulletin,2003,8.405
Psychological Bulletin,2002,7.011
Psychological Bulletin,2001,6.807
Psychological Bulletin,2000,6.913
Psychological Bulletin,1999,7.79
Psychological Bulletin,1998,6.346
Psychological Bulletin,1997,6.038
Psychiatry Research,2016,2.528
Psychiatry Research,2015,2.466
Psychiatry Research,2014,2.467
Psychiatry Research,2013,2.682
Psychiatry Research,2012,2.456
Psychiatry Research,2011,2.524
Psychiatry Research,2010,2.803
Psychiatry Research,2009,2.373
Psychiatry Research,2008,2.666
Psychiatry Research,2007,2.298
Psychiatry Research,2006,2.31
Psychiatry Research,2005,1.957
Psychiatry Research,2004,1.989
Psychiatry Research,2003,1.876
Psychiatry Research,2002,1.808
Psychiatry Research,2001,1.775
Psychiatry Research,2000,1.557
Psychiatry Research,1999,1.551
Psychiatry Research,1998,1.424
Psychiatry Research,1997,1.327
Psychiatric Services,2016,2.888
Psychiatric Services,2015,2.335
Psychiatric Services,2014,2.412
Psychiatric Services,2013,1.987
Psychiatric Services,2012,2.013
Psychiatric Services,2011,2.383
Psychiatric Services,2010,2.388
Psychiatric Services,2009,2.813
Psychiatric Services,2008,2.481
Psychiatric Services,2007,2.068
Psychiatric Services,2006,2.43
Psychiatric Services,2005,2.7
Psychiatric Services,2004,2.279
Psychiatric Services,2003,2.274
Psychiatric Services,2002,1.885
Preventive Medicine,2016,3.434
Preventive Medicine,2015,2.893
Preventive Medicine,2014,3.086
Preventive Medicine,2013,2.932
Preventive Medicine,2012,3.496
Preventive Medicine,2011,3.216
Preventive Medicine,2010,3.299
Preventive Medicine,2009,3.172
Preventive Medicine,2008,2.757
Preventive Medicine,2007,2.314
Preventive Medicine,2006,2.39
Preventive Medicine,2005,2.195
Preventive Medicine,2004,2.327
Preventive Medicine,2003,1.889
Preventive Medicine,2002,1.58
Preventive Medicine,2001,1.552
Preventive Medicine,2000,1.557
Preventive Medicine,1999,1.631
Preventive Medicine,1998,1.575
Preventive Medicine,1997,1.332
Policing and Society,2016,1.632
Policing and Society,2015,1.61
Policing and Society,2014,0.569
Policing and Society,2013,0.75
Policing and Society,2012,0.444
Policing and Society,2011,0.686
Policing and Society,2010,0.714
PLoS ONE,2016,2.806
PLoS ONE,2015,3.057
PLoS ONE,2014,3.234
PLoS ONE,2013,3.534
PLoS ONE,2012,3.73
PLoS ONE,2011,4.092
PLoS ONE,2010,4.411
PLoS ONE,2009,4.351
Personality and Individual Differences,2016,2.005
Personality and Individual Differences,2015,1.946
Personality and Individual Differences,2014,1.951
Personality and Individual Differences,2013,1.861
Personality and Individual Differences,2012,1.807
Personality and Individual Differences,2011,1.877
Personality and Individual Differences,2010,1.82
Personality and Individual Differences,2009,1.878
Personality and Individual Differences,2008,1.598
Personality and Individual Differences,2007,1.4
Personality and Individual Differences,2006,1.423
Personality and Individual Differences,2005,1.256
Personality and Individual Differences,2004,1.324
Personality and Individual Differences,2003,1.084
Personality and Individual Differences,2002,0.987
Personality and Individual Differences,2001,0.975
Personality and Individual Differences,2000,0.92
Personality and Individual Differences,1999,0.728
Personality and Individual Differences,1998,0.559
Personality and Individual Differences,1997,0.786
Pediatrics,2016,5.705
Pediatrics,2015,5.196
Pediatrics,2014,5.473
Pediatrics,2013,5.297
Pediatrics,2012,5.119
Pediatrics,2011,5.437
Pediatrics,2010,5.391
Pediatrics,2009,4.687
Pediatrics,2008,4.789
Pediatrics,2007,4.473
Pediatrics,2006,5.012
Pediatrics,2005,4.272
Pediatrics,2004,3.903
Pediatrics,2003,3.781
Pediatrics,2002,3.416
Pediatrics,2001,3.708
Pediatrics,2000,3.742
Pediatrics,1999,3.487
Pediatrics,1998,3.466
Pediatrics,1997,2.748
Nursing Research,2016,1.929
Nursing Research,2015,1.856
Nursing Research,2014,1.356
Nursing Research,2013,1.5
Nursing Research,2012,1.556
Nursing Research,2011,1.402
Nursing Research,2010,1.785
Nursing Research,2009,1.798
Nursing Research,2008,1.538
Nursing Research,2007,1.748
Nursing Research,2006,1.604
Nursing Research,2005,1.528
Nursing Research,2004,1.553
Nursing Research,2003,1.129
Nursing Research,2002,1.258
Nursing Research,2001,1.2
Nursing Research,2000,1.08
Nursing Research,1999,1.09
Nursing Research,1998,0.708
Military Medicine,2016,0.906
Military Medicine,2015,0.969
Military Medicine,2014,0.911
Military Medicine,2013,0.733
Military Medicine,2012,0.771
Military Medicine,2011,0.924
Military Medicine,2010,0.766
Military Medicine,2008,0.64
Military Medicine,2007,0.601
Military Medicine,2006,0.747
Military Medicine,2005,0.371
Military Medicine,2003,0.605
Military Medicine,2002,0.357
Military Medicine,2001,0.338
Military Medicine,2000,0.512
Military Medicine,1999,0.471
Military Medicine,1998,0.358
Military Medicine,1997,0.363
Maternal and Child Health Journal,2016,1.788
Maternal and Child Health Journal,2015,1.917
Maternal and Child Health Journal,2014,2.083
Maternal and Child Health Journal,2013,2.015
Maternal and Child Health Journal,2012,1.875
Maternal and Child Health Journal,2011,2.243
Maternal and Child Health Journal,2010,2.133
Maternal and Child Health Journal,2009,1.766
Maternal and Child Health Journal,2008,1.536
Maternal and Child Health Journal,2007,0.987
Maternal and Child Health Journal,2006,0.728
Law and Human Behavior,2016,2.822
Law and Human Behavior,2015,2.542
Law and Human Behavior,2014,2.02
Law and Human Behavior,2013,2.153
Law and Human Behavior,2012,2.388
Law and Human Behavior,2011,2.162
Law and Human Behavior,2010,2.268
Law and Human Behavior,2009,2.628
Law and Human Behavior,2008,2.282
Law and Human Behavior,2007,1.551
Law and Human Behavior,2006,2.122
Law and Human Behavior,2005,1.135
Law and Human Behavior,2004,1.77
Law and Human Behavior,2003,1.556
Law and Human Behavior,2002,2.236
Law and Human Behavior,2001,2.836
Law and Human Behavior,2000,1.861
Law and Human Behavior,1999,1.662
Law and Human Behavior,1998,2.306
Law and Human Behavior,1997,1.842
Juvenile and Family Court Journal,2016,0.348
Juvenile and Family Court Journal,2015,0.087
Juvenile and Family Court Journal,2014,0.207
Juvenile and Family Court Journal,2013,0.161
Juvenile and Family Court Journal,2012,0.156
Juvenile and Family Court Journal,2011,0.1
Juvenile and Family Court Journal,2010,0.067
Juvenile and Family Court Journal,2009,0.083
Juvenile and Family Court Journal,2008,0.429
Juvenile and Family Court Journal,2007,0.111
Juvenile and Family Court Journal,2006,0.152
Juvenile and Family Court Journal,2005,0.14
Juvenile and Family Court Journal,2004,0.193
Juvenile and Family Court Journal,2003,0.026
Juvenile and Family Court Journal,2002,0.061
Juvenile and Family Court Journal,2001,0.308
Juvenile and Family Court Journal,2000,0.279
Juvenile and Family Court Journal,1999,0.243
Juvenile and Family Court Journal,1998,0.344
Juvenile and Family Court Journal,1997,0.281
Journal of Youth and Adolescence,2016,3.284
Journal of Youth and Adolescence,2015,3.562
Journal of Youth and Adolescence,2014,2.777
Journal of Youth and Adolescence,2013,2.312
Journal of Youth and Adolescence,2012,2.695
Journal of Youth and Adolescence,2011,2.717
Journal of Youth and Adolescence,2010,1.751
Journal of Youth and Adolescence,2009,1.383
Journal of Youth and Adolescence,2008,1.316
Journal of Youth and Adolescence,2007,0.915
Journal of Youth and Adolescence,2006,1.214
Journal of Youth and Adolescence,2005,1.045
Journal of Youth and Adolescence,2004,0.855
Journal of Youth and Adolescence,2003,0.631
Journal of Youth and Adolescence,2002,0.84
Journal of Youth and Adolescence,2001,0.825
Journal of Youth and Adolescence,2000,0.723
Journal of Youth and Adolescence,1999,0.667
Journal of Youth and Adolescence,1998,0.527
Journal of Youth and Adolescence,1997,0.815
Journal of traumatic stress,2016,2.254
Journal of traumatic stress,2015,2.624
Journal of traumatic stress,2014,2.36
Journal of traumatic stress,2013,2.083
Journal of traumatic stress,2012,2.55
Journal of traumatic stress,2011,2.721
Journal of traumatic stress,2010,2.374
Journal of traumatic stress,2009,2.326
Journal of traumatic stress,2008,1.824
Journal of traumatic stress,2007,1.585
Journal of traumatic stress,2006,1.898
Journal of traumatic stress,2005,1.884
Journal of traumatic stress,2004,1.5
Journal of traumatic stress,2003,1.408
Journal of traumatic stress,2002,1.918
Journal of traumatic stress,2001,1.449
Journal of traumatic stress,2000,1.836
Journal of traumatic stress,1999,1.626
Journal of traumatic stress,1998,1.404
Journal of traumatic stress,1997,1.712
Journal of Trauma & Dissociation,2016,1.682
Journal of Trauma & Dissociation,2015,1.294
Journal of Trauma & Dissociation,2014,1.544
Journal of Trauma & Dissociation,2013,1.603
Journal of Trauma & Dissociation,2012,1.717
Journal of Trauma & Dissociation,2011,1.231
Journal of Trauma & Dissociation,2010,0.778
Journal of the Society for Social Work and Research,2016,0.688
Journal of the American Academy of Child & Adolescent Psychiatry,2016,6.442
Journal of the American Academy of Child & Adolescent Psychiatry,2015,7.182
Journal of the American Academy of Child & Adolescent Psychiatry,2014,7.26
Journal of the American Academy of Child & Adolescent Psychiatry,2013,6.354
Journal of the American Academy of Child & Adolescent Psychiatry,2012,6.97
Journal of the American Academy of Child & Adolescent Psychiatry,2011,6.444
Journal of the American Academy of Child & Adolescent Psychiatry,2010,5.148
Journal of the American Academy of Child & Adolescent Psychiatry,2009,4.983
Journal of the American Academy of Child & Adolescent Psychiatry,2008,4.845
Journal of the American Academy of Child & Adolescent Psychiatry,2007,4.655
Journal of the American Academy of Child & Adolescent Psychiatry,2006,4.767
Journal of the American Academy of Child & Adolescent Psychiatry,2005,4.113
Journal of the American Academy of Child & Adolescent Psychiatry,2004,3.529
Journal of the American Academy of Child & Adolescent Psychiatry,2003,3.779
Journal of the American Academy of Child & Adolescent Psychiatry,2002,3.662
Journal of the American Academy of Child & Adolescent Psychiatry,2001,3.608
Journal of the American Academy of Child & Adolescent Psychiatry,2000,3.175
