Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI
EWMPXVA8,journalArticle,2017,"Pac, Jessica",The effect of monthly stipend on the placement instability of youths in out-of-home care,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2016.10.019
5QKDGP44,journalArticle,2017,"Kwak, Yoonyoung; Lu, Ting; Christ, Sharon L.",Organized and unstructured activity participation among adolescents involved with child protective services in the united states,Child & Youth Care Forum,,"1053-1890, 1573-3319",10.1007/s10566-017-9392-3
MBRVT9JL,journalArticle,2017,"Moses, Jacqueline O.; Villodas, Miguel T.",The potential protective role of peer relationships on school engagement in at-risk adolescents,Journal of Youth and Adolescence,,"0047-2891, 1573-6601",10.1007/s10964-017-0644-1
384GN5U8,journalArticle,2017,"Kepple, Nancy Jo",The complex nature of parental substance use: examining past year and prior use behaviors as correlates of child maltreatment frequency,Substance Use & Misuse,,1082-6084,10.1080/10826084.2016.1253747
86DEVU5C,journalArticle,2017,"Yoon, Susan; Tebben, Erin; Lee, Guijin",Early childhood aggression among child welfare involved children: The interplay between the type of child maltreatment and ecological protective factors,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.07.030
7BMCA8J6,journalArticle,2017,"Lee, JoAnn S.; Logan-Greene, Patricia",Patterns of family service needs and caregiver–child relationships among families at risk of child welfare involvement,Child & Family Social Work,,1365-2206,10.1111/cfs.12375
VCX4EVWP,journalArticle,2017,"Finno-Velasquez, Megan; Ogbonnaya, Ijeoma Nwabuzor",National estimates of intimate partner violence and service receipt among latina women with child welfare contact,Journal of Family Violence,,"0885-7482, 1573-2851",10.1007/s10896-017-9912-9
LIJ6QS2Y,journalArticle,,"Klein, Sacha; Fries, Lauren; Emmons, Mary M.",Early care and education arrangements and young children's risk of foster placement: Findings from a National Child Welfare Sample,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.09.006
KYKS68G6,journalArticle,2017,"Holmes, Megan R.; Yoon, Susan; Berg, Kristen A.",Maternal depression and intimate partner violence exposure: Longitudinal analyses of the development of aggressive behavior in an at-risk sample,Aggressive Behavior,,1098-2337,10.1002/ab.21696
84D6HE3D,journalArticle,2017,"Panlilio, Carlomagno C.; Jones Harden, Brenda; Harring, Jeffrey","School readiness of maltreated preschoolers and later school achievement: The role of emotion regulation, language, and context",Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.06.004
UAFC3YPR,journalArticle,2017,"Christ, Sharon L.; Kwak, Yoon Young; Lu, Ting",The joint impact of parental psychological neglect and peer isolation on adolescents’ depression,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.04.015
UEXA3AL8,journalArticle,2017,"Duprey, Erinn B.; Oshri, Assaf; Caughy, Margaret O.","Childhood neglect, internalizing symptoms and adolescent substance use: does the neighborhood context matter?",Journal of Youth and Adolescence,,"0047-2891, 1573-6601",10.1007/s10964-017-0672-x
WFD43S6Q,journalArticle,,"Morrow, Anne S.; Villodas, Miguel T.",Direct and indirect pathways from adverse childhood experiences to high school dropout among high-risk adolescents,Journal of Research on Adolescence,,1532-7795,10.1111/jora.12332
88SNRFB6,journalArticle,2017,"Figge, Caleb J.; Martinez-Torteya, Cecilia; Weeks, Jessica E.",Social–ecological predictors of externalizing behavior trajectories in at-risk youth,Development and Psychopathology,,"0954-5794, 1469-2198",10.1017/S0954579417000608
HA2PAVQN,journalArticle,2017,"Kahn, Nicholas E.; Hansen, Mary Eschelbach",Measuring racial disparities in foster care placement: A case study of Texas,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.03.009
8BGRHASY,journalArticle,2017,"Warren, Emily J.; Drazen, Yonah N.; Curtis, Marah A.",Public housing agency preferences for the homeless as a policy lever: Examining county-level housing subsidy receipt and maltreatment rates,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.05.002
GEZCFXXU,journalArticle,2017,"Hill, Katharine","Prevalence, experiences, and characteristics of children and youth who enter foster care through voluntary placement agreements",Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.01.025
H87WBRTT,journalArticle,2017,"Lee, Tae; Festinger, Trudy; Jaccard, James; Munson, Michelle R.","Mental health subgroups among vulnerable emerging adults, and their functioning",Journal of the Society for Social Work and Research,,2334-2315,10.1086/692019
N9GN8ZV5,journalArticle,2017,"Rayburn, Allison D.; Withers, Mathew C.; McWey, Lenore M.",The importance of the caregiver and adolescent relationship for mental health outcomes among youth in foster care,Journal of Family Violence,,"0885-7482, 1573-2851",10.1007/s10896-017-9933-4
F3JPWIYV,journalArticle,2017,"Kobulsky, Julia M.; Kepple, Nancy Jo; Holmes, Megan R.; Hussey, David L.",Concordance of parent- and child-reported physical abuse following child protective services investigation,Child Maltreatment,,1077-5595,10.1177/1077559516673156
L5P8ZVXP,journalArticle,2017,"Melville, Alysse",Adverse childhood experiences from ages 0–2 and young adult health: implications for preventive screening and early intervention,Journal of Child & Adolescent Trauma,,"1936-1521, 1936-153X",10.1007/s40653-017-0161-0
ZGZ9ICFZ,journalArticle,2017,"Cromer, Kelly D.; Villodas, Miguel T.",Post-traumatic stress as a pathway to psychopathology among adolescents at high-risk for victimization,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.02.025
XCFE2LUQ,journalArticle,2017,"Jagannathan, Radha; Camasso, Michael J.",Social outrage and organizational behavior: A national study of child protective service decisions,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.03.015
H9BY3SX8,journalArticle,2017,"Cederbaum, Julie A.; He, Amy S.; Fulginiti, Anthony; Sullivan, Kathrine; Krauss, Max D.; Amutah, Ndidi; Pohle, Cara","Caregiver qualities, family closeness, and the well-being of adolescents engaged in the child welfare system",Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2016.12.007
9FNCFRWF,journalArticle,2017,"Cheng, Tyrone C.; Li, Qingyi",Adolescent delinquency in child welfare system: A multiple disadvantage model,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2016.12.018
9JF2D872,journalArticle,2017,"Cromer, Kelly D.; Villodas, Miguel T.",The role of posttraumatic stress as a pathway to psychopathology among youth at high-risk for victimization,Psychology of Violence,,,10.1037/vio0000034
G9BFGZTH,journalArticle,2017,"Poehacker, Stefanie; Phillips, David; Riggs, Jessica; Lauterbach, Dean",Longitudinal trajectory of exposure to psychological interpersonal violence,Journal of Interpersonal Violence,,0886-2605,10.1177/0886260517707309
6RT3NHW7,journalArticle,2017,"Drake, Brett; Jonson-Reid, Melissa; Kim, Hyunil",Surveillance bias in child maltreatment: a tempest in a teapot,International Journal of Environmental Research and Public Health,,,10.3390/ijerph14090971
2XLGE36L,journalArticle,2017,"He, Amy S.",Interagency collaboration and receipt of substance abuse treatment services for child welfare-involved caregivers,Journal of Substance Abuse Treatment,,0740-5472,10.1016/j.jsat.2017.05.006
DF5GVHXA,journalArticle,2017,"Wojciak, Armeda Stevenson; Thompson, Heather M.; Cooley, Morgan E.",The relationship between caregivers and youth in foster care: examining the relationship for mediation and moderation effects on youth behaviors,Journal of Emotional and Behavioral Disorders,,1063-4266,10.1177/1063426616628816
2SR2DQD8,journalArticle,2017,"Landers, Ashley L.; Bellamy, Jennifer L.; Danes, Sharon M.; White Hawk, Sandy",Internalizing and externalizing behavioral problems of American Indian children in the child welfare system,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.08.014
NNLX2XN4,journalArticle,2017,"Fowler, Patrick J.; Marcal, Katherine E.; Zhang, Jinjin; Day, Orin; Landsverk, John",Homelessness and aging out of foster care: A national comparison of child welfare-involved adolescents,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.03.017
QWHDV8C6,journalArticle,2017,"Fawley-King, Kya; Trask, Emily V.; Zhang, Jinjin; Aarons, Gregory A.","The impact of changing neighborhoods, switching schools, and experiencing relationship disruption on children’s adjustment to a new placement in foster care",Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2016.11.016
CVNP8NJ7,journalArticle,2017,"Smith, Brenda D.; Kay, Emma Sophia; Womack, Bethany G.",How can county-level maltreatment report rates better inform child welfare practice?,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.06.045
BVVZTEII,journalArticle,2017,"Helton, Jesse J.; Boutwell, Brian B.; DiBernardo, Michael","The relative safety of paternal, maternal, and traditional foster care placements",Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.05.006
D7X8UF95,journalArticle,2017,"He, Amy S.; Phillips, Jon",Interagency collaboration: Strengthening substance abuse resources in child welfare,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2016.12.011
9V8F2JYY,journalArticle,2017,"Jedwab, Merav; Harrington, Donna; Dubowitz, Howard",Predictors of substantiated re-reports in a sample of children with initial unsubstantiated reports,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.04.031
CKDPCAI4,journalArticle,2017,"Gochez-Kerr, Tatiana; Helton, Jesse J.",Victimization of emerging adults with histories of child maltreatment allegations: a national study,Child and Adolescent Social Work Journal,,"0738-0151, 1573-2797",10.1007/s10560-016-0461-5
T5PS9MEH,journalArticle,2017,"Rienks, Shauna; Phillips, Jon; McCrae, Julie; Bender, Kim; Brown, Samantha",Complex health concerns among child welfare populations and the benefit of pediatric medical homes,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.01.021
7HTNI9PS,journalArticle,2017,"O’Brien, Jennifer E.; White, Kevin; Rizo, Cynthia Fraga",Domestic minor sex trafficking among child welfare–involved youth: an exploratory study of correlates,Child Maltreatment,,1077-5595,10.1177/1077559517709995
UBPA6M2A,journalArticle,2017,"Rosenberg, Rachel; Kim, Youngmi","Aging Out of Foster Care: Homelessness, Post-Secondary Education, and Employment",Journal of Public Child Welfare,,"1554-8732, 1554-8740",10.1080/15548732.2017.1347551
DZYLIMXH,journalArticle,2017,"Allen, Brian",Children with sexual behavior problems: clinical characteristics and relationship to child maltreatment,Child Psychiatry & Human Development,,"0009-398X, 1573-3327",10.1007/s10578-016-0633-8
ENM2FIDH,journalArticle,2017,"Garcia, Antonio R.; Gupta, Meera; Greeson, Johanna K. P.; Thompson, Allison; DeNard, Christina",Adverse childhood experiences among youth reported to child welfare: Results from the national survey of child & adolescent wellbeing,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.06.019
WPL5PDEU,journalArticle,2016,"Kim, Hyunil; Wildeman, Christopher; Jonson-Reid, Melissa; Drake, Brett",Lifetime Prevalence of Investigating Child Maltreatment Among US Children,American Journal of Public Health,,0090-0036,10.2105/AJPH.2016.303545
5UYDRQYG,journalArticle,2017,"Steenrod, Shelley; Mirick, Rebecca",Substance use disorders and referral to treatment in substantiated cases of child maltreatment,Child & Family Social Work,,1365-2206,10.1111/cfs.12331
SIKN3JIC,journalArticle,2017,"Lemkin, Allison; Kistin, Caroline J.; Cabral, Howard J.; Aschengrau, Ann; Bair-Merritt, Megan",School connectedness and high school graduation among maltreated youth,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.04.023
AQNSJVKN,journalArticle,2017,"Jolles, M. P.; Wells, R.",Does caregiver participation in decision making within child welfare agencies influence children's primary and mental health care service use?: Decision making within child welfare and health services,"Child: Care, Health and Development",,3051862,10.1111/cch.12384
WAE7DZDX,journalArticle,2017,"Ho, Grace W.?K.; Gross, Deborah A.; Bettencourt, Amie",Universal mandatory reporting policies and the odds of identifying child physical abuse,American Journal of Public Health,,0090-0036,10.2105/AJPH.2017.303667
D294GGJB,journalArticle,2017,"Raghavan, Ramesh; Brown, Derek S.; Allaire, Benjamin T.",Can medicaid claims validly ascertain foster care status?,Child Maltreatment,,1077-5595,10.1177/1077559517712261
LW2XBMZF,journalArticle,2017,"Proctor, Laura J.; Lewis, Terri; Roesch, Scott; Thompson, Richard; Litrownik, Alan J.; English, Diana; Arria, Amelia M.; Isbell, Patricia; Dubowitz, Howard",Child maltreatment and age of alcohol and marijuana initiation in high-risk youth,Addictive Behaviors,,0306-4603,10.1016/j.addbeh.2017.06.021
8ATQPSN6,journalArticle,2017,"Shanahan, Meghan E.; Runyan, Desmond K.; Martin, Sandra L.; Kotch, Jonathan B.",The within poverty differences in the occurrence of physical neglect,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.02.014
84EB9LJB,journalArticle,2017,"Shpiegel, Svetlana; Cascardi, Michele; Dineen, Michael",A social ecology analysis of childbirth among females emancipating from foster care,Journal of Adolescent Health,,1054-139X,10.1016/j.jadohealth.2016.09.013
CUQ7GH6H,journalArticle,2011,"Wolak, Janis; Finkelhor, David; Mitchell, Kimberly J.; Jones, Lisa M.",Arrests for Child Pornography Production : Data at Two Time Points From a National Sample of U.S. Law Enforcement Agencies,Child Maltreatment,,,http://dx.doi.org/10.1177/1077559511415837
FQ9EC789,journalArticle,2011,"Wolak, Janis; Finkelhor, David; Mitchell, Kimberly",Child Pornogrophy Possesors: Trends in Offender and Case Characteristics,Sexual Abuse: A Journal of Research and Treatment,,,http://dx.doi.org/10.1177/1079063210372143
SX6HIC23,journalArticle,2008,"Smith, Leann E.; Howard, Kimberly S.",Continuity of Paternal Social Support and Depressive Symptoms Among New Mothers,Journal of family psychology,,,http://dx.doi.org/10.1037/a0013581
J62Q8STU,journalArticle,2010,"Smith, Leann E.; Akai, Carol E.; Klerman, Lorraine V.; Keltner, Bette R.",What mothers don't know and doctors don't say: Detecting early developmental delays,Infant Mental Health Journal,,1097-0355,http://dx.doi.org/10.1002/imhj.20266
H635QK85,journalArticle,2007,"Mitchell, Kimberly J.; Ybarra, Michele L.",Online behavior of youth who engage in self-harm provides clues for preventive intervention,Preventive Medicine,,,
3CFNWZFD,journalArticle,2006,"Scott, Lionel D.; Munson, Michelle R.; McMillen, J. Curtis; Ollie, Marcia T.",Religious Involvement and Its Association to Risk Behaviors among Older Youth in Foster Care,American Journal of Community Psychology,,910562,http://dx.doi.org/10.1007/s10464-006-9077-9
U6926WV4,journalArticle,2010,"Rosenthal, James A.; Villegas, Susy",Living situation and placement change and children's behavior,Children and Youth Services Review,,,http://dx.doi.org/10.1016/j.childyouth.2010.07.003
E2R6D22M,journalArticle,2014,"Thompson, Richard; Flaherty, Emalee G.; English, Diana J.; J, Litrownik Alan; Dubowitz, Howard; Kotch, Jonathan B.; Runyan, Desmond K.",Trajectories of Adverse Childhood Experiences and Self-Reported Health at Age 18,Academic Pediatrics,,,http://dx.doi.org/10.1016/j.acap.2014.09.010
AMSGDBF2,journalArticle,2014,"Wells, Rebecca; Jolles, Mónica Pérez; Chuang, Emmeline; McBeath, Bowen; Collins-Camargo, Crystal",Trends in local public child welfare agencies 1999–2009,Children and Youth Services Review,,1907409,http://dx.doi.org/10.1016/j.childyouth.2014.01.015
356Z7FWD,journalArticle,2010,"Narendorf, Sarah Carter; McMillen, J. Curtis",Substance use and substance use disorders as foster youth transition to adulthood,,,,
2869337Z,journalArticle,2015,"Fong, Hiu-fai; French, Benjamin; Rubin, David; Wood, Joanne N.",Mental health services for children and caregivers remaining at home after suspected maltreatment,Children and Youth Services Review,,1907409,10.1016/j.childyouth.2015.08.010
389UVPHG,journalArticle,2015,"Arroyo, Julia; Peek, Chuck W.",Child welfare caseworkers’ characteristics and their attitudes toward non-custodial fathers,Child Abuse & Neglect,,1452134,10.1016/j.chiabu.2015.06.007
VVZ58F7Z,journalArticle,2016,"Rayburn, Allison D.; McWey, Lenore M.; Cui, Ming",The interrelationships between trauma and internalizing symptom trajectories among adolescents in foster care,Children and Youth Services Review,,1907409,10.1016/j.childyouth.2016.01.006
E6SZ2CAT,journalArticle,2015,"O’Hara, Mandy; Legano, Lori; Homel, Peter; Walker-Descartes, Ingrid; Rojas, Mary; Laraque, Danielle",Children neglected: Where cumulative risk theory fails,Child Abuse & Neglect,,1452134,10.1016/j.chiabu.2015.03.007
DF8J9AVK,journalArticle,1996,"Finkelhor, David; Asdigian, Nancy L.",Risk factors for youth victimization: Beyond a lifestyles/routine activities theory approach,Violence and Victims,,,
5AMT7K9R,journalArticle,1985,"Polansky, Norman A.",Determinants of loneliness among neglectful and other low-income mothers,Journal of Social Service Research,,,http://dx.doi.org/10.1300/J079v08n03_01
SV4ARHHV,journalArticle,2005,"Wall, Ariana E.; Barth, Richard P.; NSCAW Research Group",Aggressive and Delinquent Behavior of Maltreated Adolescents: Risk Factors and Gender Differences,"Stress, Trauma, and Crisis: An International Journal",,,http://dx.doi.org/10.1080/15434610490888081
39GP837U,journalArticle,2001,"Dubowitz, Howard; Black, Maureen M.; Kerr, Mia A.; Hussey, Jon M.; Morrel, Tanya M.; Everson, Mark D.; Raymond H. Starr",Type and timing of mothers' victimization: effects on mothers and children,Pediatrics,,,
Z8FUU5BS,journalArticle,1992,"Polansky, Norman A.; Gaudin, James M.; Kilpatrick, Allie C.",Family radicals,Children and Youth Services Review,,,http://dx.doi.org/10.1016/0190-7409(92)90010-S
H53JJIAH,journalArticle,2007,"Scott, Lionel D.; Munson, Michelle R.; McMillen, J. Curtis; Snowden, Lonnie R.",Predisposition to seek mental health care among Black males transitioning from foster care,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2007.01.003
IDFBETUZ,journalArticle,2005,"Walsh, Wendy A.; Wolak, Janis",Nonforcible Internet-Related Sex Crimes With Adolescent Victims: Prosecution Issues and Outcomes,Child maltreatment,,,http://dx.doi.org/10.1177/1077559505276505
HDUMZPJZ,journalArticle,2005,"Mitchell, Kimberly J.; Wolak, Janis; Finkelhor, David",Police Posing as Juveniles Online to Catch Sex Offenders: Is It Working?,Sexual Abuse: A Journal of Research and Treatment,,,http://dx.doi.org/10.1007/s11194-005-5055-2
EBQRPM36,journalArticle,2005,"Mitchell, Kimberly J.; Finkelhor, David; Wolak, Janis",The Internet and Family and Acquaintance Sexual Abuse,Child maltreatment,,,http://dx.doi.org/10.1177/1077559504271917
AA37VN9U,journalArticle,2010,"Mitchell, Kimberly J.; Finkelhor, David; Jones, Lisa M.; Wolak, Janis","Growth and change in undercover online child exploitation investigations, 2000-2006",Policing and Society,,,http://dx.doi.org/10.1080/10439463.2010.523113
44RQ6WXK,journalArticle,2004,"Ybarra, Michele L.; Mitchell, Kimberly J.","Online aggressor/targets, aggressors, and targets: a comparison of associated youth characteristics",Journal of Child Psychology and Psychiatry,,219630,http://dx.doi.org/10.1111/j.1469-7610.2004.00328.x
7BQPWH2E,journalArticle,2004,"Ybarra, Michele L.; Mitchell, Kimberly J.","Youth engaging in online harassment: associations with caregiver–child relationships, Internet use, and personal characteristics",Journal of Adolescence,,,http://dx.doi.org/10.1016/j.adolescence.2004.03.007
ZFXWW78S,journalArticle,2005,"Ybarra, Michele L.; Mitchell, Kimberly J.",Exposure to Internet Pornography among Children and Adolescents: A National Survey,CyberPsychology and Behavior,,10949313,http://dx.doi.org/10.1089/cpb.2005.8.473
8HEKM8I2,journalArticle,2009,"Ybarra, Michele L.; Finkelhor, David; Mitchell, Kimberly J.; Wolak, Janis","Associations between blocking, monitoring, and filtering software on the home computer and youth-reported unwanted exposure to sexual material online",Child Abuse and Neglect,,0145-2134,http://dx.doi.org/10.1016/j.chiabu.2008.09.015
5AAEU86B,journalArticle,2005,"Ybarra, Michele L.; Alexander, Cheryl; Mitchell, Kimberly J.","Depressive symptomatology, youth Internet use, and online interactions: A national survey",Journal of Adolescent Health,,,http://dx.doi.org/10.1016/j.jadohealth.2003.10.012
26M8IMD4,journalArticle,2002,"Wolak, Janis; Mitchell, Kimberly J.; Finkelhor, David",Close Online Relationships in a National Sample of Adolescents,Adolescence,,18449,
7T9KX7GD,journalArticle,2003,"Wolak, Janis; Mitchell, Kimberly J.; Finkelhor, David",Escaping or connecting? Characteristics of youth who form close online relationships,Journal of Adolescence,,,http://dx.doi.org/10.1016/S0140-1971(02)00114-8
PN4ZIN58,journalArticle,2010,"Tokunaga, Robert S.",Following you home from school: A critical review and synthesis of research on cyberbullying victimization,Computers in Human Behavior,,0747-5632,http://dx.doi.org/10.1016/j.chb.2009.11.014
DEK86CAW,journalArticle,2007,"Mitchell, Kimberly J.; Ybarra, Michele; Finkelhor, David","The Relative Importance of Online Victimization in Understanding Depression, Delinquency, and Substance Use",Child Maltreatment,,,http://dx.doi.org/10.1177/1077559507305996
A3N7TFPE,journalArticle,2001,"Mitchell, Kimberly J.; Finkelhor, David; Wolak, Janis",Youth on the Internet: Who is at Risk?,The Link: The Official Newsletter of the International Society for Prevention of Child Abuse and Neglect,,,
NNBKA494,journalArticle,2001,"Mitchell, Kimberly J.; Finkelhor, David; Wolak, Janis",Risk Factors for and Impact of Online Sexual Solicitation of Youth,JAMA: Journal of the American Medical Association,,,http://dx.doi.org/10.1001/jama.285.23.3011
NF7N3S64,journalArticle,2003,"Mitchell, Kimberly J.; Finkelhor, David; Wolak, Janis","The Exposure Of Youth To Unwanted Sexual Material On The Internet: A National Survey of Risk, Impact, and Prevention",Youth and Society,,,http://dx.doi.org/10.1177/0044118X02250123
SZTMRQNA,journalArticle,2004,"Mitchell, Kimberly J.; Finkelhor, David; Wolak, Janis",Victimization of Youths on the Internet,"Journal of Aggression, Maltreatment and Trauma",,10926771,http://dx.doi.org/10.1300/J146v08n01_01
N3JQUB39,journalArticle,2005,"Mitchell, Kimberly J.; Finkelhor, David; Wolak, Janis",Protecting youth online: Family use of filtering and blocking software,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/j.chiabu.2004.05.008
6IIWRF6V,journalArticle,2000,"Murry, S. K.; Baker, Ann W.; Lewin, L.",Screening families with young children for child maltreatment potential,Pediatric nursing,,,
TJ2WI5RB,journalArticle,2001,"Sedlak, Andrea J.; Bruce, Carol; Schultz, Dana J.",Letter to the Editor,Child Abuse and Neglect,,,http://dx.doi.org/10.1016/S0145-2134(00)00222-2
46TBSH3F,journalArticle,2008,"Munson, Michelle R.; McMillen, J. Curtis",Non-Kin Natural Mentors in the Lives of Older Youth in Foster Care. Journal of Behavioral Health Services & Research,Journal of Behavioral Health Services and Research,,1094-3412 (Print) 1556-3308 (Online),http://dx.doi.org/10.1007/s11414-006-9040-4
CNXQCP3U,journalArticle,2008,"Vaughn, Michael G.; Shook, Jeffrey J.; McMillen, J. Curtis",Aging Out of Foster Care and Legal Involvement: Toward a Typology of Risk,Social Service Review,,,
SN22BPPB,journalArticle,2008,"Vaughn, Michael G.; Litschge, Christine; DeLisi, Matt; Beaver, Kevin M.; McMillen, J. Curtis",Psychopathic personality features and risks for criminal justice system involvement among emancipating foster youth,Children and Youth Services Review,,0190-7409,http://dx.doi.org/10.1016/j.childyouth.2008.02.001
WEVXNB79,journalArticle,2009,"Raghavan, Ramesh; Shi, Peichang; Aarons, Gregory A.; Roesch, Scott C.; McMillen, J. Curtis",Health Insurance Discontinuities Among Adolescents Leaving Foster Care,Journal of Adolescent Health,,1054-139X,http://dx.doi.org/10.1016/j.jadohealth.2008.08.008
798DEV7J,journalArticle,2010,"Mitchell, Kimberly J.; Finkelhor, David; Jones, Lisa M.; Wolak, Janis",Use of Social Networking Sites in Online Sex Crimes Against Minors: An Examination of National Incidence and Means of Utilization,Journal of Adolescent Health,,,http://dx.doi.org.proxy.library.cornell.edu/10.1016/j.jadohealth.2010.01.007
ZM5JPPP7,journalArticle,2011,"Mitchell, Kimberly J.; Wolak, Janis; Finkelhor, David; Jones, Lisa",Investigators using the Internet to apprehend sex offenders: findings from the Second National Juvenile Online Victimization Study,Police Practice & Research,,,http://dx.doi.org/10.1080/15614263.2011.627746
2XFRIMBK,journalArticle,2011,"Mitchell, Kimberly J.; Jones, Lisa M.; Finkelhor, David; Wolak, Janis",Internet-Facilitated Commercial Sexual Exploitation of Children: Findings From a Nationally Representative Sample of Law Enforcement Agencies in the United States,Sexual Abuse: A Journal of Research and Treatment,,,http://dx.doi.org.proxy.library.cornell.edu/10.1177/1079063210374347
